codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
,Tufello,Roma,80,0.870311,15695.542791,13660,1454,1258,235.763411,92.093704,19.765739,2.121617,69.503452,75.64688,11.263318,0,14.670982,13.257576,95.174263,130.491803,62.587199,13.483069,23.987699,2.600707,0.100373,20.392799,60.113074,1.716845,13.479263,30.882353,10.07371,21.666667,0.450282,3100,0,0,0,0,1,7,2,3,0,1,3,0,4.57,0,0.68,0,16.07,0,0.106332,100,100,100,100,3.184225,0
,Aeropoprto dell' Urbe,Roma,92,4.683053,368.349479,1725,224,250,191.964286,144.927536,21.623188,2.248677,73.861171,100,12.5,0,0,12.5,70.813397,139.68254,66.733267,12.282457,22.12766,2.615193,0.128535,10,40.722291,2.272727,14.150943,50,9.259259,31.818182,0.457669,1768.577713,1,1300,0,0,0,2,1,1,0,0,1,1,6.81,0,3.02,0,8.01,0,3.338428,90.144928,87.942029,86.202899,1.971014,1.903276,12.57971
,Settebagni,Roma,88,4.806839,1100.307401,5289,750,493,136.133333,93.212327,23.047835,1.248537,80.551,100,6.666667,0,0,6.666667,19.880419,57.419355,70.237371,9.748876,18.930636,1.981399,0.206868,8.632287,29.316619,1.474604,7.831325,32.258065,7.407407,19.607843,0.436285,1876.588202,0,0,0,0,0,1,1,1,0,0,1,1,5.29,0,6.64,0,9.07,0,1.011078,93.382492,92.739648,92.739648,0,1.358944,92.588391
,Bufalotta,Roma,111,13.839501,539.325813,7464,1229,628,103.986981,84.137192,26.741693,1.630285,77.637232,88.359788,5.820106,0,0,5.820106,15.4047,35.897436,66.893823,11.311096,21.372032,3.204921,0.39801,8.703375,37.164131,1.52856,7.465619,18.518519,7.792208,14.285714,0.423183,2246.141479,0,0,0,0,0,5,1,1,0,0,1,0,8.99,0,10.34,0,12.19,0,1.059618,94.292605,81.497856,76.701501,1.339764,6.402041,0
,Tor S. Giovanni,Roma,67,52.292497,13.099394,685,84,136,185.714286,198.540146,21.459854,3.71517,72.251309,0,0,0,0,0,0,0,57.177033,17.038529,24.742268,3.71517,0.3125,12.765957,55.727554,0.520833,18.181818,50,25,10,0.330974,1999.100719,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,10.62,0,18.53,8.467153,8.550058,12.262774,0.583942,0,0,8.327114,0
,Casal Bertone,Roma,96,1.359862,11409.978814,15516,1742,1575,222.789897,101.508121,18.683939,2.057159,81.58196,95,13.478261,0,0,13.478261,32.352941,81.869688,70.373142,10.048285,19.64462,1.361868,0.124611,7.323304,29.049125,0.918148,9.477521,47.727273,7.435897,10.909091,0.426663,3250,0,0,0,0,0,3,2,2,0,0,2,1,7.79,0,3.64,0.631606,7.89,25.580046,0.27131,99.97422,100,99.97422,28.093581,1.079267,99.941995
,Casal Bruciato,Roma,89,2.462925,8467.575159,20855,2304,1532,254.123264,73.459602,18.839607,1.644488,79.125644,100,8.232119,5.150215,12.341772,9.885536,84.915663,101.072961,68.340739,10.93152,20.365535,1.751547,0.39721,8.784166,35.478344,1.085247,10.6929,37.037037,7.468124,16.736402,0.415393,2678.677775,0,0,0,0,0,5,4,4,1,1,6,0,4.59,0,1.59,21.294654,9.33,6.051307,0.171666,100,100,100,99.889715,0.978345,58.547111
,Tiburtino Nord,Roma,203,3.582151,5595.242121,20043,2332,1700,219.039451,84.817642,19.997006,1.965138,74.64995,100,15.873016,12.749004,13.513514,14.74704,44.316081,70.063694,68.177181,10.655243,20.642031,1.849406,0.10353,10.5582,39.203333,1.414045,11.541774,42.105263,10.172414,17.821782,0.417329,2947.214738,0,0,0,1,0,5,4,4,1,1,6,0,3.65,0,2.63,27.685476,5.82,81.854014,0.000158,99.570923,99.565933,99.565933,39.999002,2.823402,0.698498
,Tiburtino Sud,Roma,134,2.735582,8102.114362,22164,2604,1168,259.831029,52.698069,20.591951,1.491031,78.44748,97.461469,5.802357,5.339806,5.109489,5.411392,122.45628,115.044248,67.050262,10.445357,22.270451,1.810362,1.253665,5.736485,28.585717,1.050621,9.815498,37.931034,8.895706,19.858156,0.392419,2760.237322,0,0,0,0,1,4,3,3,2,2,7,1,2.75,0,1.24,68.268363,12.68,0,0.80328,99.688684,100,99.688684,96.35896,0.904296,24.756362
,S. Basilio,Roma,274,6.16362,3833.623612,23629,2877,1720,177.893639,72.791908,22.908291,2.098979,69.140327,97.916667,10.307018,10.659898,17.244797,13.390929,68.57838,95.645161,64.147032,12.023543,22.865528,2.743902,0.221858,14.020987,47.513338,1.564859,11.237785,23.287671,9.485714,23.737374,0.466401,2200,0,0,0,0,1,6,7,7,2,2,11,0,2.87,0,0.21,0,16.77,0,0.203354,99.987304,99.517542,99.517542,62.292099,4.562519,0
,Tor Cervara,Roma,67,3.72563,694.916083,2589,378,267,133.333333,103.128621,22.981846,3.343949,67.248322,0,0,0,0,0,0,0,66.311835,12.426527,26.488095,3.341688,0.169205,15.505618,58.312448,1.589242,18.918919,72.727273,13.513514,21.95122,0.441144,1956.546929,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,3.05,0,13.84,0,2.479722,71.533411,70.683662,70.683662,0,2.273387,0.540749
,Casetta Mistica,Roma,36,3.417979,233.178715,797,101,231,137.623762,289.836888,23.964868,3.333333,68.308351,0,0,0,0,0,0,0,64.69428,12.872895,25.19084,2.97619,1.547988,9.090909,44.047619,1.140684,10,20,4.545455,6.25,0.453901,2166.091593,0,0,0,0,0,1,0,0,0,0,0,0,2.94,0,2.61,0,9.97,55.708908,1.958906,96.737767,55.708908,55.708908,24.090339,4.183151,0
,Centro Direzionale Centocelle,Roma,24,1.90396,384.461898,732,93,139,156.989247,189.89071,21.174863,3.523035,72.389791,49.044586,34.394904,0,0,34.394904,174.193548,515,64.705882,13.074583,26.373626,2.046784,0.3003,6.976744,42.105263,1.214575,13.953488,60,5.263158,15.384615,0.487569,2509.972678,0,0,0,0,0,1,1,1,0,0,1,0,3.98,0,1.76,4.098361,10.91,69.125683,1.249298,100,100,100,95.901639,5.406775,0
,Omo,Roma,51,2.802469,684.03976,1917,392,242,47.959184,126.238915,26.656234,3.133903,75.862069,0,0,0,0,0,0,0,74.229249,9.063797,25.339367,2.625821,0.111483,12.738854,42.013129,1.062417,18.666667,50,6.666667,18.75,0.478989,2371.165884,1,1000,0,0,0,0,0,0,0,0,0,0,1.11,0,1.96,0,8.13,4.277517,1.98606,97.026604,28.951487,17.005738,17.005738,2.206548,12.728221
,Casal de' Pazzi,Roma,220,4.95925,5205.827493,25817,3051,2531,235.955424,98.036178,20.250223,2.10172,80.754294,95.466434,9.764603,12.365591,22.44898,11.194732,72.925457,105.384615,68.330916,10.390883,18.32704,1.698969,0.151057,6.709516,31.727835,1.227151,8.983607,38.095238,6.647808,12.857143,0.390857,2444.058179,1,6621,0,0,2,5,5,5,4,2,11,0,1.56,54.262695,0.62,0,13.7,0,0,89.189294,100,99.984506,61.579579,4.021207,0
,S. Alessandro,Roma,119,11.602573,909.625827,10554,1589,701,79.483952,66.420315,29.884404,1.184527,78.865895,100,5.898123,9.440559,0,7.435508,36.29169,60.882353,70.108303,9.312307,16.507634,2.296211,0.514139,6.442577,23.605052,1.243655,6.427916,31.25,5.587669,14.965986,0.456804,2157.724559,0,0,0,0,0,5,1,1,1,0,2,0,13.12,0,6.72,0,18.31,0,2.287937,92.211484,87.890847,73.213947,0,7.89073,0
,Settecamini,Roma,193,10.22222,1220.47849,12476,1862,1546,120.139635,123.917922,24.438923,2.34211,72.962448,87.356322,12.212644,8.221477,0,10.371517,80.565371,106.650246,68.222251,10.842516,21.173889,2.66859,0.203027,7.735369,33.357375,1.481481,12.049689,24.271845,8.121827,18.390805,0.468537,1752.817409,0,0,0,0,0,6,2,2,1,0,3,0,7.83,0,2.18,0,19.93,0,1.988615,99.695415,83.392113,83.392113,0,3.476819,0.008015
,Torpignattara,Roma,240,2.224935,20371.834832,45326,5283,9609,190.630324,211.997529,19.384018,3.404353,77.543542,72.529465,24.478694,28.140704,17.010309,24.868004,40.252828,55.900621,67.839089,11.485834,23.388358,1.920885,0.182197,8.165077,33.946891,1.079464,13.05044,37.44856,8.388158,19.014085,0.4426,2826.972929,0,0,0,0,2,7,3,3,2,1,6,0,3.36,6.766536,0.49,86.352204,6.22,98.660813,0.323602,100,100,100,99.404315,1.905703,22.827957
,Casilino,Roma,91,1.968252,5167.02223,10170,1143,1087,281.627297,106.882989,20.009833,2.413457,78.478438,93.123209,22.707736,26.833977,11.393229,18.289855,285.238524,338.174274,66.963788,10.622427,22.647284,1.756641,1.110627,5.08647,25.556984,1.027397,8.653846,32.142857,9.538462,17.171717,0.39059,2605.637556,0,0,0,1,0,6,5,5,2,2,9,0,7.62,0,2.36,14.611603,6.25,49.056047,0.650001,100,100,100,100,2.191796,20.550639
,Quadraro,Roma,143,1.476567,13523.260273,19968,2513,5301,150.099483,265.47476,20.728165,3.816496,73.260347,76.720648,42.712551,27.004219,13.351017,23.34445,98.900092,55.511022,66.26272,12.733447,25.899281,2.445898,0.197772,10.156721,41.238047,1.491228,16.906475,43.911439,12.138728,25.120773,0.486736,2554.137871,0,0,0,0,2,4,2,2,1,2,5,0,3.01,0,0.85,22.906651,5.63,90.009014,0.277449,100,100,100,95.41266,3.187584,0
,Gordiani,Roma,124,1.807607,22285.823015,40284,4647,4793,229.416828,118.98024,20.03525,2.27299,77.394209,92.857143,19.84127,19.663866,18.719431,19.158879,90.265283,62.449393,68.463485,10.448026,19.70897,1.807168,0.124385,8.249974,31.64834,1.261034,8.481589,29.302326,6.527415,15.011038,0.430835,2609.00916,0,0,0,0,1,5,4,4,2,2,8,1,4.94,0,2.09,62.203356,7,44.643034,0.668599,100,100,100,93.027008,0.959365,100
,Centocelle,Roma,258,3.197489,16476.055249,52682,6446,8716,176.466025,165.445503,20.46999,2.818808,76.060676,82.191781,29.109589,20.09774,16.32537,22.265122,95.722794,96.261682,67.965817,11.13383,21.467314,2.076653,0.144576,8.593059,32.760727,1.348813,12.279556,41.123596,8.488613,16.27907,0.477856,2495.769428,0,0,0,0,1,10,6,6,4,1,11,0,6.06,0,1.41,54.360123,11.08,1.116131,0.77177,100,100,100,100,1.921296,17.243081
,Alessandrina,Roma,188,2.994357,8628.563066,25837,3345,3810,165.530643,147.462941,22.212331,2.76615,70.846783,100,29.624478,24.836601,14.51505,20.079365,77.745941,61.462729,65.648225,11.997094,23.258336,2.662866,0.274657,12.451913,40.594463,1.290166,12.905162,36.464088,11.922141,19.137466,0.504535,2447.770639,0,0,0,0,1,9,5,5,1,1,7,0,6.24,0,2.08,40.736154,7.9,71.385997,0.379195,100,100,100,77.52061,2.37999,9.521229
,Tor Sapienza,Roma,101,2.132927,5614.35062,11975,1556,1679,183.611825,140.208768,22.430063,2.431835,70.973259,89.80322,19.856887,20.448878,17.303371,18.756757,111.510313,96.594427,65.722055,11.802167,21.648288,2.289377,0.186254,9.83288,41.465201,1.322082,10.994764,32.58427,7.795699,17.142857,0.474755,2373.787056,0,0,0,0,1,5,2,2,1,1,4,1,0.93,0,0.7,6.830898,9.57,1.954071,0.097139,100,100,100,97.569937,0.41991,72.125261
,La Rustica,Roma,58,1.721105,5755.024537,9905,1327,896,156.518463,90.459364,24.109036,1.739322,71.672794,84.246575,17.351598,16.803279,11.521418,14.348786,99.392097,94.623656,66.683451,11.196373,21.208307,2.509653,0.098304,7.084911,32.794402,1.339869,9.537167,21.568627,8.656716,14.74359,0.476792,1850,0,0,0,0,0,2,2,2,1,1,4,1,2.56,0,3.35,0,13.57,0,0.429588,100,100,100,68.884402,1.2559,79.515396
,Tor Tre Teste,Roma,49,1.419325,7418.313393,10529,1329,493,215.575621,46.82306,20.913667,1.670863,78.322959,81.973435,6.26186,7.228916,0,6.731707,86.097152,114.181818,69.147313,9.681024,18.545994,1.962831,0.210615,9.823577,31.488829,1.26183,9.348915,27.027027,7.368421,17.460317,0.429957,2100,0,0,0,0,1,3,2,2,1,0,3,0,4.32,0,1.2,76.787919,5.99,97.483142,0.010707,91.746605,100,100,33.364992,3.763722,0
,Torre Angela,Roma,554,17.470581,4864.806642,84991,12612,15323,125.261656,180.289678,25.093245,3.236083,65.944512,77.074899,27.353239,23.485134,13.468013,22.537563,74.457345,88.215859,62.693127,13.292114,24.715142,3.466186,0.314121,10.586366,44.23487,1.8263,15.893369,34.245077,13.641208,20.900322,0.487972,1634.829504,0,0,0,0,0,23,12,12,8,2,22,0,11.14,0,3.86,0,15.42,22.725936,0.900235,96.910261,90.214258,90.095422,28.706569,9.028915,0
,Borghesiana,Roma,550,22.561238,2235.028012,50425,7894,9803,101.545478,194.407536,26.427367,3.267243,66.647182,66.359977,30.93732,24.792531,24.626866,27.80154,47.927101,67.436057,63.115192,13.117804,23.604369,3.704233,0.388588,7.627841,39.894301,1.489672,14.262948,34.848485,11.909989,13.651138,0.506439,1626.463064,0,0,0,0,2,10,5,5,2,1,8,1,7,0,1.55,0,16.35,0,0.669142,88.400595,79.877045,75.65295,31.397124,5.47261,0.364898
,Torrespaccata,Roma,97,1.739369,7592.409374,13206,1514,1190,224.240423,90.110556,20.793579,1.75661,75.428167,100,13.652482,18.820862,15.486726,15.84078,85.386221,102.312139,68.144691,10.186703,20.8,1.469388,0.016644,6.369637,26.02449,1.370522,11.111111,24.285714,9.862385,20.245399,0.371705,2250,0,0,0,0,2,1,3,3,2,1,6,0,3.86,0,0.55,0,6.15,100,0.439698,100,100,100,100,5.253406,0
,Torre Maura,Roma,124,2.664094,7109.734491,18941,2355,2941,176.348195,155.271633,22.05269,2.72551,70.841579,93.981481,30.709877,28.205128,0,29.895833,43.719912,87.029289,66.069721,11.944518,22.912902,2.573869,0.117606,8.884739,39.346722,1.453439,12.931727,31.081081,11.015491,18.773946,0.464052,2000,0,0,0,1,0,4,3,3,1,0,4,0,6.33,0,2,0,5.2,97.703395,0.227863,94.820759,99.99472,99.039121,10.754448,5.162127,0
,Lunghezza,Roma,268,12.308238,3028.0533,37270,6923,5161,74.461938,138.475986,27.392004,2.462679,71.423354,72.782115,11.46203,11.793313,16,11.727726,76.908877,113.046272,67.781337,11.348361,24.537681,3.078734,0.273207,9.707001,36.158087,1.481304,15.452848,30.742049,12.893701,20.400729,0.512561,1681.774215,0,0,0,0,0,14,8,7,4,1,13,2,6.65,0,6.46,0,24.12,0,1.578174,97.944728,88.009123,85.065737,11.899651,2.421316,14.223236
,Giardinetti-Tor Vergata,Roma,207,9.016875,2208.193068,19911,2761,3453,136.508511,173.421727,23.760735,2.986726,69.275261,76.155718,28.832117,19.931271,0,25.14245,54.718447,86.294416,65.017326,12.328216,22.189252,2.756207,0.315102,8.505541,42.491524,1.434393,11.445341,25.531915,10.151515,15.339233,0.48955,1944.51685,0,0,0,1,1,6,3,3,2,0,5,0,11.44,0,3.04,0.020089,3.27,60.639847,2.340139,99.979911,84.73708,82.733163,2.455929,5.733335,0
,Acqua Vergine,Roma,93,11.283884,601.300023,6785,1291,1130,67.544539,166.543847,27.973471,2.720528,74.694894,0,0,0,0,0,0,0,70.590983,10.017825,26.034858,3.731343,2.266667,9.362809,32.706035,1.278351,17.402597,33.333333,17.391304,15.068493,0.509524,1795.257922,0,0,0,0,0,4,0,0,0,0,0,2,3.41,0,5.72,0,13.64,0,2.084742,94.355195,92.881356,92.733972,5.792189,1.370955,5.040531
,S. Vittorino,Roma,210,36.623294,381.61505,13976,2547,1777,76.953278,127.146537,27.940756,2.558108,65.478979,70.737327,13.59447,17.228464,0,14.978602,32.395604,47.818792,65.976433,11.684108,24.467558,3.602232,0.487805,8.941176,34.804668,2.094356,15.617978,20,13.092551,20.677966,0.50064,1408.323197,1,934,0,0,0,3,2,2,1,0,3,0,20.16,0,21.31,0,20.7,0,8.797009,69.404694,56.961935,46.780195,0,11.603736,1.602748
,Tuscolano Nord,Roma,150,1.087299,18768.534063,20407,2183,2113,245.991754,103.542902,18.091831,1.546222,86.96342,97.791411,16.809816,9,6.310071,8.980044,186.766169,106.342495,70.313146,9.937924,18.917836,1.437556,0.136961,7.144336,27.5292,0.833932,7.269338,34.042553,5.762082,21,0.382786,3800,0,0,0,0,1,8,4,4,1,2,7,0,1.73,69.814279,0.81,87.411182,7.77,55.569167,0.196634,100,100,100,100,0.770404,96.809918
,Tuscolano Sud,Roma,257,3.15134,14744.203499,46464,5413,4943,223.369666,106.383437,19.791667,1.701259,84.56925,94.722475,15.832575,8.671789,16.756757,15.130941,95.326173,59.385965,70.459923,9.791649,19.467213,1.685043,0.190243,6.887778,28.287913,1.057123,7.995409,42.600897,6.559878,10.033445,0.402819,3550.209302,1,830,0,0,0,12,3,3,2,3,8,1,2.28,46.20136,2.24,6.460916,8.21,10.132576,0.061194,100,100,100,100,1.458908,52.649363
,Tor Fiscale,Roma,49,0.944784,2298.93888,2172,293,342,119.453925,157.458564,22.559853,2.202643,73.948949,0,0,0,0,0,0,0,65.052632,13.336792,22.539683,3.775411,0.49505,13.605442,39.883833,1.386963,13.669065,40,13.114754,27.027027,0.516648,3323.480663,0,0,0,0,0,1,0,0,0,0,0,0,1.21,76.381215,1.65,26.151013,11.61,0,2.216149,89.134438,43.830571,32.13628,48.848987,3.997337,0
,Appio,Roma,128,1.284233,20371.686744,26162,2909,2963,237.12616,113.255867,18.729455,1.747538,87.308549,90.243902,15.18847,14.371257,10.161022,12.436405,132.38132,96.116505,68.961933,10.142528,19.11315,1.743014,0.102414,7.792208,27.276001,0.655172,7.334274,43.939394,7.19323,14.876033,0.3695,3700,0,0,0,0,1,6,2,2,2,4,8,0,1.67,91.544989,0.86,95.283235,5.02,86.874092,0.468589,100,100,100,100,1.828401,35.700635
,Latino,Roma,103,1.505503,14937.86509,22489,2630,1985,219.543726,88.265374,20.196541,1.858125,86.601495,83.522013,6.415094,7.837838,0,6.866953,48.11512,89.377289,70.075325,9.534535,18.665768,1.570319,0.14911,7.91491,26.600518,0.73193,5.855856,40.659341,3.84,14.285714,0.390457,3602.263329,0,0,0,0,0,8,2,2,1,0,3,0,2.9,14.913958,1.28,2.263329,9.78,7.594824,0.782581,100,100,100,95.722353,1.551633,47.965672
,Popolazione senza fissa dimora,Roma,15,0.013513,,22184,2749,13139,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Municipio,Torino,120,0.527553,13642.240495,7197,742,858,215.633423,119.21634,19.021815,2.874217,79.801325,0,0,0,0,0,0,0,70.800525,10.053138,19.54023,1.555503,0.215208,16.857963,47.442847,1.191422,11.930586,34.210526,10.176991,26.530612,0.383285,2757.147145,5,124248,2,0,6,4,0,0,0,0,0,0,0.01,100,0,100,18.62,31.249132,0.01662,100,100,100,100,1.560964,17.590663
,Palazzo Reale,Torino,29,0.301283,,97,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,693119,1,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Palazzo Carignano - Vecchio Ospedate (Borgo Nuovo),Torino,62,0.45016,8556.952154,3852,378,246,274.074074,63.862928,18.483904,1.758499,84.980989,0,0,0,0,0,0,0,71.826625,8.535324,20.545455,1.33579,0.186133,12.539851,37.309995,0.539707,10.822511,55.555556,8.527132,29.032258,0.359321,3711.607736,6,1118971,2,0,9,3,0,0,0,0,0,0,2.04,100,0.9,100,7.8,70.275182,0.51627,100,100,100,100,0.618118,4.465213
,Piazza San Carlo - Piazza Carlo Felice,Torino,79,0.469684,8833.607279,4149,410,330,242.926829,79.537238,19.209448,1.773605,84.974533,100,23.584906,23.9819,2.444703,8.347386,305.30303,87.179487,73.684211,7.962392,18.267717,1.259975,0.297114,9.203143,39.731205,0.766017,6.551724,31.578947,6.122449,10.526316,0.354202,3770.248012,0,0,0,0,3,2,1,1,1,1,3,0,1.68,100,0.21,100,9.34,35.189202,1.260733,100,100,100,100,0.769822,100
,Piazza Statuto,Torino,92,0.564129,12536.148004,7072,728,566,231.043956,80.033937,20.079186,1.819783,85.566751,29.607843,13.72549,2.120141,8.53222,8.869988,362.37037,213.907285,73.37931,8.915282,19.192825,1.476684,0.183775,11.074271,39.92228,0.995025,10.9375,42.5,6.696429,10.25641,0.375488,2678.873162,3,22900,0,1,11,1,2,1,1,3,6,0,0.26,100,0.25,100,3.22,97.992081,0.071804,100,100,100,100,1.07063,95.135747
,Piazza Vittorio Veneto,Torino,50,0.406126,10922.717083,4436,444,345,278.153153,77.772768,18.913436,1.378254,82.980525,100,7.627119,8.350305,13.589212,12.871823,1154.366812,160.227273,70.505288,9.817015,18.931298,1.511535,0.321285,12.061206,42.999204,1.157742,8.108108,46.153846,3.875969,24,0.373126,3172.744364,2,644217,1,0,7,4,1,1,1,4,6,0,0.06,100,0.01,100,5.2,95.243463,0.081597,100,100,100,100,2.057521,0
,Corso Cairoli - Piazza Bodoni (Borgo Nuovo),Torino,47,0.378199,13040.740356,4932,518,501,225.096525,101.581509,19.038929,1.670236,84.718783,72.745902,8.196721,0,0,8.196721,100.824742,274.074074,73.637557,8.642787,20.434783,1.688951,0.142096,10.727612,43.4905,1.045904,8.389262,50,5.479452,13.793103,0.360855,3437.592052,0,0,0,0,0,1,1,1,0,0,1,0,1.12,100,0.81,100,11.32,26.419303,1.134826,100,100,100,100,1.638734,54.703974
,Comandi Militari - Stazione Porta Susa,Torino,113,0.723314,7093.742083,5131,644,258,189.596273,50.282596,21.964529,1.096491,89.220266,62.755102,7.142857,13.636364,26.528258,23.468455,440.752351,91.791045,76.231691,6.594843,13.61186,1.105604,0.192382,8.243728,34.273732,0.386313,2.469136,20,1.169591,8.333333,0.344837,2994.948938,1,17135,0,0,1,3,1,1,1,2,4,1,0.49,100,0.47,100,3.76,100,0.134979,100,100,100,100,0.798671,100
,Piazza Madama Cristina (Borgo San Salvario),Torino,67,0.415944,24976.897263,10389,1323,1855,173.620559,178.55424,20.887477,3.284742,77.524485,0,0,0,0,0,0,0,69.731681,11.422327,23.29773,1.770833,0.175932,10.716025,44.0625,1.710914,13.758389,39.74359,10.294118,19.767442,0.397812,2275.699297,0,0,0,0,3,3,0,0,0,0,0,0,0.71,100,0.63,100,7.06,85.205506,0.421619,100,100,100,100,0.387418,100
,Borgo San Secondo - Stazione Porta Nuova,Torino,59,0.517951,12406.585181,6426,718,688,215.45961,107.065048,19.872393,2.038133,82.953914,100,22.767857,0,0,22.767857,33.794163,97.183099,71.318822,9.000923,19.22675,1.006325,0.145985,10.511159,38.786659,1.396648,7.281553,36.538462,6.190476,20,0.370793,2426.543417,0,0,0,0,0,2,1,1,0,0,1,1,1.21,100,0.61,100,4.5,100,0.300458,100,100,100,100,1.657683,68.082789
,Borgo Vanchiglia,Torino,67,0.527752,19495.913755,10289,1001,817,282.017982,79.40519,17.212557,1.542362,80.895522,94.654088,15.408805,0,0,15.408805,35.226078,95.794393,72.231351,9.750617,16.222222,1.175669,0.207075,10.462855,36.139036,2.022004,5.504587,22.44898,4.912281,11.392405,0.385662,2508.234522,0,0,0,0,1,3,1,1,0,0,1,0,0.92,100,0.56,100,4.37,100,0.131898,100,100,100,100,2.945011,0
,Borgo Dora - Valdocco,Torino,130,0.982656,13423.816092,13191,1609,3920,181.044127,297.172314,20.468501,5.616943,65.228292,100,73.359073,0,20.196281,26.469248,136.737589,45.074627,66.368537,13.201952,26.98908,1.965944,0.14171,8.797876,49.024768,3.391108,20.258065,41.608392,16.939891,20.207254,0.474873,1809.529224,0,0,0,0,2,3,2,2,0,4,6,0,0.99,100,0.77,94.579638,8.28,60.927905,0.225496,100,100,100,100,2.469926,10.507164
,Borgo Po - Parco Michelotti,Torino,75,0.785394,7226.944978,5676,564,383,308.865248,67.477097,17.98802,0.943396,86.61174,100,6.713781,0,14.011209,12.663185,260.900901,162.608696,72.858056,8.283963,18.953324,1.462766,0.067295,7.521578,36.003989,0.769654,6.64557,23.809524,5.806452,15.789474,0.329982,2784.118393,0,0,0,0,1,1,1,1,0,1,2,0,0.93,90.821001,0.31,77.995067,4.49,100,0.453491,100,100,100,100,3.004081,0
,Motovelodromo,Torino,45,0.356046,9302.161647,3312,351,289,241.595442,87.258454,18.387681,0.915631,82.803235,88.461538,14.615385,10.677618,0,11.507293,195.795796,122.857143,72.058087,9.006027,17.401392,1.191766,0.110072,9.715026,38.840737,1.355014,5.434783,28.571429,7.865169,12.5,0.386485,2813,0,0,0,0,0,2,1,1,1,0,2,0,1.74,0,1.11,5.797101,4.68,100,0.196267,100,100,100,100,4.310661,0
,Borgo Crimea - Monte dei Cappuccini,Torino,54,0.440583,4666.545119,2056,253,140,239.920949,68.093385,22.081712,2.045728,85.025126,0,3.26087,7.444169,0,6.666667,208.235294,116.326531,71.769019,7.579429,17.869416,1.548887,0.097371,8.362989,32.1394,0.311042,5.185185,25,3.076923,22.222222,0.314389,2775,1,64090,0,0,2,0,1,0,1,0,2,0,0.69,100,0.69,23.394942,7.78,29.912451,0.272336,100,100,76.896887,98.540856,1.698685,0
,Borgo San Donato,Torino,134,0.880772,21825.183894,19223,2073,2308,238.78437,120.064506,19.315403,2.137767,78.475379,76.280323,21.15903,46.04811,0,28.170378,52.688172,112.658228,72.584329,9.35906,17.752381,1.293737,0.13871,8.355556,34.930903,1.916784,9.707904,32.402235,8.928571,14.556962,0.393844,2058.528846,1,1330,0,1,0,6,2,2,1,0,3,0,0.57,93.502575,0.37,58.913801,2.25,100,0.188537,100,100,100,100,1.346306,51.922177
